toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_b1_A,dthe_b1_B,dpe_b1_A,dpe_b1_B,dthp,dpp_b1_A,dpp_b1_B
195,True,Optimization terminated successfully.,1846,2841,348.8586,0,1,-0.3071,-0.9182,-0.0245,0.9180,1.7962,-2.9714,-0.4731
196,True,Optimization terminated successfully.,1772,2744,450.5090,0,1,-0.1473,-0.5897,-0.2827,0.2766,1.4329,-2.1229,0.5464
197,True,Optimization terminated successfully.,1756,2766,498.4789,0,1,-0.0460,-0.4686,-0.4451,-0.0200,1.1831,-1.5630,0.9744
198,True,Optimization terminated successfully.,1702,2634,383.7623,0,1,0.0272,-0.3168,-0.5625,-0.2528,1.0256,-1.1646,1.3313
199,True,Optimization terminated successfully.,2908,4457,1.6504,1,0,-60.6640,-106.9698,98.4557,214.0722,142.2522,-333.9553,-332.8146
200,True,Optimization terminated successfully.,1713,2649,497.6791,0,1,-0.1170,-0.4531,-0.3503,0.0564,1.3012,-1.9093,0.8435
201,True,Optimization terminated successfully.,1808,2790,437.4578,0,1,0.0406,-0.3293,-0.5933,-0.2875,0.9849,-1.0606,1.3766
202,True,Optimization terminated successfully.,1762,2749,413.1652,0,1,0.0394,-0.4042,-0.5841,-0.1390,1.0146,-1.0923,1.1293
203,True,Optimization terminated successfully.,1773,2741,464.7348,0,1,-0.0841,-0.4923,-0.3869,0.1461,1.2782,-1.7663,0.6963
204,True,Optimization terminated successfully.,1895,2920,428.5863,0,1,-0.1497,-0.6646,-0.2800,0.3965,1.4693,-2.1187,0.3199
205,True,Optimization terminated successfully.,1507,2335,413.8508,0,1,-0.0368,-0.4233,-0.4526,-0.0665,1.1984,-1.5301,1.0590
206,True,Optimization terminated successfully.,1634,2528,364.1088,0,1,0.0091,-0.3471,-0.5490,-0.2372,1.0361,-1.2108,1.2950
207,True,Optimization terminated successfully.,1613,2496,475.0129,0,1,-0.0515,-0.4210,-0.4441,-0.0863,1.1725,-1.5702,1.0365
208,True,Optimization terminated successfully.,2039,3171,441.3801,0,1,-0.1629,-0.4865,-0.2652,0.1001,1.4136,-2.1610,0.7958
209,True,Optimization terminated successfully.,1726,2673,393.1277,0,1,0.4608,0.5241,-1.2630,-1.8799,0.0330,1.1992,3.8609
210,True,Optimization terminated successfully.,1697,2621,419.3420,0,1,-0.2979,-0.8937,-0.0415,0.8851,1.7629,-2.9247,-0.4335
211,True,Optimization terminated successfully.,1749,2695,426.8728,0,1,0.0021,-0.4098,-0.5182,-0.1193,1.1137,-1.2979,1.0919
212,True,Optimization terminated successfully.,1804,2805,446.4724,0,1,-0.1868,-0.6826,-0.2168,0.4978,1.5449,-2.3330,0.1651
213,True,Optimization terminated successfully.,1833,2834,443.7034,0,1,-0.1200,-0.6045,-0.3273,0.2792,1.3483,-1.9588,0.5164
214,True,Optimization terminated successfully.,1685,2596,426.1248,0,1,0.3145,0.1841,-1.0286,-1.2396,0.3506,0.4015,2.8838
215,True,Optimization terminated successfully.,1798,2781,452.7855,0,1,-0.0823,-0.4993,-0.3959,0.0599,1.2469,-1.7291,0.8603
216,True,Optimization terminated successfully.,1830,2808,393.8708,0,1,-0.1477,-0.6587,-0.2803,0.3515,1.4214,-2.1254,0.4067
217,True,Optimization terminated successfully.,1797,2811,442.0096,0,1,0.0308,-0.3825,-0.5723,-0.1957,1.0326,-1.1322,1.2191
218,True,Optimization terminated successfully.,2099,3215,458.9675,0,1,0.0152,-0.3460,-0.5404,-0.2659,1.0606,-1.2442,1.3468
219,True,Optimization terminated successfully.,1822,2816,430.0148,0,1,-0.0768,-0.5185,-0.4036,0.1174,1.2365,-1.6852,0.7924
220,True,Optimization terminated successfully.,1745,2717,403.5610,0,1,-0.0590,-0.4364,-0.4223,-0.0210,1.2533,-1.6361,0.9627
221,True,Optimization terminated successfully.,1546,2405,317.5982,0,1,-0.0645,-0.4660,-0.4166,0.0314,1.2444,-1.6495,0.8963
222,True,Optimization terminated successfully.,2166,3364,505.5960,0,1,0.1208,-0.1037,-0.7369,-0.7120,0.7691,-0.5877,2.1154
223,True,Optimization terminated successfully.,1957,3028,444.9576,0,1,-0.0153,-0.3566,-0.5030,-0.1865,1.0853,-1.3751,1.2195
224,True,Optimization terminated successfully.,1812,2811,492.2113,0,1,-0.0621,-0.4658,-0.4260,0.0120,1.2150,-1.6151,0.9175
225,True,Optimization terminated successfully.,2082,3194,539.6619,0,1,0.0075,-0.3761,-0.5420,-0.1335,1.0834,-1.2407,1.1456
226,True,Optimization terminated successfully.,1846,2835,467.4828,0,1,0.0106,-0.4061,-0.5358,-0.1732,1.0503,-1.2597,1.1960
227,True,Optimization terminated successfully.,1999,3078,410.7199,0,1,-0.0325,-0.4607,-0.4684,-0.0187,1.1777,-1.4826,0.9447
228,True,Optimization terminated successfully.,1943,3005,455.5282,0,1,0.0118,-0.3482,-0.5451,-0.2276,1.0496,-1.2339,1.3131
229,True,Optimization terminated successfully.,1628,2545,479.7945,0,1,-0.1254,-0.5836,-0.3126,0.2628,1.3963,-2.0242,0.5054
230,True,Optimization terminated successfully.,1806,2764,391.0832,0,1,-0.0100,-0.4523,-0.5093,-0.0717,1.1037,-1.3440,1.0731
231,True,Optimization terminated successfully.,1516,2350,432.9404,0,1,-0.1636,-0.6718,-0.2631,0.4145,1.4553,-2.1803,0.2873
232,True,Optimization terminated successfully.,1816,2818,402.2351,0,1,0.0106,-0.3790,-0.5385,-0.2002,1.0709,-1.2298,1.2570
233,True,Optimization terminated successfully.,1829,2847,408.3576,0,1,-0.4604,-1.1219,0.2366,1.4064,2.1795,-3.8557,-1.2303
234,True,Optimization terminated successfully.,1866,2872,451.2469,0,1,0.1000,-0.1076,-0.6785,-0.6012,0.9023,-0.7727,1.9103
235,True,Optimization terminated successfully.,2061,3221,516.9790,1,0,0.7585,1.0693,-1.7643,-2.9828,-0.6796,2.8715,5.5951
236,True,Optimization terminated successfully.,1982,3069,452.2794,0,1,-0.1371,-0.6059,-0.2998,0.3702,1.4227,-2.0529,0.3582
237,True,Optimization terminated successfully.,1969,3045,400.0719,0,1,-0.0807,-0.4774,-0.3993,0.0596,1.2458,-1.7019,0.8745
238,True,Optimization terminated successfully.,1788,2775,430.8877,0,1,-0.2235,-0.7795,-0.1665,0.6014,1.5752,-2.5172,0.0079
239,True,Optimization terminated successfully.,1904,2973,437.3853,0,1,-0.0771,-0.4232,-0.4127,-0.0792,1.2215,-1.6847,1.0614
240,True,Optimization terminated successfully.,1727,2697,435.9122,0,1,-0.1243,-0.6519,-0.3206,0.3674,1.3739,-1.9687,0.3340
241,True,Optimization terminated successfully.,1878,2907,447.6926,0,1,-0.3589,-0.9982,0.0703,1.0949,1.9284,-3.2912,-0.7330
242,True,Optimization terminated successfully.,1881,2915,445.1251,0,1,0.0520,-0.3114,-0.6113,-0.3222,0.9803,-1.0009,1.4689
243,True,Optimization terminated successfully.,1860,2843,448.8005,0,1,0.3649,0.2953,-1.1165,-1.4274,0.2453,0.6897,3.1929
244,True,Optimization terminated successfully.,1610,2523,467.5707,0,1,-0.0533,-0.3601,-0.4329,-0.1058,1.2135,-1.5925,1.1282
245,True,Optimization terminated successfully.,1721,2620,484.6555,0,1,0.0678,-0.2083,-0.6357,-0.5700,0.8817,-0.9300,1.8219
246,True,Optimization terminated successfully.,1872,2895,499.3302,0,1,-0.0561,-0.4069,-0.4460,-0.0833,1.1749,-1.5600,1.0746
247,True,Optimization terminated successfully.,2073,3197,436.7173,0,1,-0.0973,-0.5649,-0.3716,0.1895,1.3221,-1.8111,0.6149
248,True,Optimization terminated successfully.,1764,2734,437.7001,0,1,-0.1277,-0.5351,-0.3137,0.2027,1.3578,-1.9993,0.6406
249,True,Optimization terminated successfully.,1607,2508,423.2109,0,1,-0.1280,-0.6183,-0.3102,0.2933,1.3839,-2.0160,0.4840
250,True,Optimization terminated successfully.,1694,2609,468.8282,0,1,0.0327,-0.3080,-0.5751,-0.2578,0.9901,-1.1327,1.4093
251,True,Optimization terminated successfully.,1578,2443,445.9825,0,1,-0.1033,-0.4374,-0.3691,0.0203,1.2720,-1.8181,0.9333
252,True,Optimization terminated successfully.,1816,2815,415.0437,0,1,-0.1661,-0.6546,-0.2549,0.3981,1.4708,-2.1961,0.3406
253,True,Optimization terminated successfully.,2095,3199,390.3034,0,1,-0.0617,-0.4556,-0.4275,0.0564,1.2241,-1.6292,0.9168
254,True,Optimization terminated successfully.,1811,2803,420.6462,0,1,-0.0079,-0.3214,-0.5090,-0.2654,1.1024,-1.3611,1.3402
255,True,Optimization terminated successfully.,1472,2275,464.5773,0,1,-0.0902,-0.4386,-0.3899,0.0487,1.2689,-1.7658,0.8903
256,True,Optimization terminated successfully.,2076,3230,445.2292,0,1,-0.0609,-0.4441,-0.4328,-0.0321,1.1918,-1.6114,0.9829
257,True,Optimization terminated successfully.,1802,2808,465.1007,0,1,0.0176,-0.3821,-0.5544,-0.1867,1.0460,-1.1926,1.2184
