parameter,central_value,toy_mean,toy_std,p16,p50,p84,minus_err,plus_err,n_toys_physical
dthe_b1_A,-0.1233,-0.0716,0.1445,-0.1676,-0.0708,0.0267,0.0443,0.1500,1937
dthe_b1_B,-0.5745,-0.4846,0.2510,-0.6549,-0.4865,-0.3136,0.0804,0.2609,1937
dpe_b1_A,-0.3231,-0.4073,0.2355,-0.5673,-0.4091,-0.2522,0.2442,0.0709,1937
dpe_b1_B,0.2467,0.0654,0.5035,-0.2840,0.0609,0.3957,0.5307,0.1490,1937
dthp,1.3681,1.2482,0.3353,1.0238,1.2434,1.4711,0.3443,0.1030,1937
dpp_b1_A,-1.9728,-1.6898,0.7917,-2.2140,-1.6843,-1.1462,0.2412,0.8266,1937
dpp_b1_B,0.5621,0.8446,0.7846,0.3239,0.8465,1.3969,0.2382,0.8348,1937
