pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,predicted,predicted_err_FromToy,residual,residual_err_Total,pull_Total
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,W,5.4573,0.0772,4.5212,0.0635,0.9362,0.1000,9.3648
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Em,6.2076,0.0228,6.4240,0.0204,-0.2164,0.0306,-7.0785
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmz,-5.5814,0.0356,-5.0940,0.0270,-0.4874,0.0447,-10.9126
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmx,-5.4704,0.0363,-5.4689,0.0378,-0.0014,0.0524,-0.0274
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,W,8.4863,0.3893,7.8295,0.3548,0.6567,0.5267,1.2468
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Em,-3.6635,0.1158,-3.4367,0.0938,-0.2267,0.1490,-1.5214
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmz,5.1624,0.1387,5.4829,0.1031,-0.3205,0.1728,-1.8545
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmx,-6.1576,0.1516,-6.1758,0.1530,0.0181,0.2153,0.0842
