pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,predicted,predicted_err_FromToy,residual,residual_err_Total,pull_Total
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,2.2740,1.0326,1.4924,1.6217,0.9203
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,-14.1272,0.2475,-0.0604,0.3813,-0.1584
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,14.7719,0.2679,-0.2721,0.4639,-0.5865
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,-5.2148,0.3300,0.5608,0.5411,1.0363
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,5.1351,1.1095,0.4642,1.7114,0.2713
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,-14.8271,0.2503,-0.5317,0.4253,-1.2502
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,16.0317,0.2697,-0.4660,0.4505,-1.0343
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,-5.4890,0.3385,-0.4473,0.5670,-0.7889
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,11.1266,1.0612,0.1005,1.6510,0.0609
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,-14.0775,0.2613,-0.2705,0.4937,-0.5479
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,16.4216,0.2560,-0.1184,0.4081,-0.2902
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,-6.9417,0.3727,-0.3237,0.7151,-0.4526
