quantity,value
method,scipy_nelder_mead_toy_errors
pass,4pass
input_csv,results/tables/MeasuredOffsetsBySetting_4pass.csv
fitparams_csv,results/tables/SimultaneousDpeDtheFitParams_4pass.csv
n_toys_requested,2000
seed,314159
bad_branch_abs_param_threshold,5.0000
central_chi2,436.5010
central_n_obs,8
central_n_params,7
central_ndf,1
central_chi2_ndf,436.5010
central_bad_branch_flag_abs_param_gt_5,0
toy_success_count,2000
toy_bad_branch_count_abs_param_gt_5,63
toy_physical_branch_count,1937
toy_physical_branch_fraction,0.9685
