toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_C,dthe_E,dthe_D,dpe_C,dpe_E,dpe_D,dthp,dpp
183,True,Optimization terminated successfully.,2634,3974,11.2695,1,0,1.8697,1.7227,1.6098,-4.6384,-4.5970,-4.7385,-1.6889,9.6368
184,True,Optimization terminated successfully.,2776,4113,11.5304,1,0,-7.2364,-7.3015,-7.5483,16.3414,16.4686,16.3049,10.0098,-20.1729
185,True,Optimization terminated successfully.,2269,3378,15.2825,0,1,0.3942,0.1840,-0.0314,-0.9418,-0.9023,-0.9209,0.5774,4.3465
186,True,Optimization terminated successfully.,2634,3940,23.6081,1,0,2.7010,2.5570,2.3578,-6.4834,-6.3815,-6.5125,-2.5282,12.1889
187,True,Optimization terminated successfully.,2859,4290,17.5148,0,1,-0.8843,-1.0451,-1.2072,1.7600,1.8021,1.7242,1.9386,0.5631
188,True,Optimization terminated successfully.,2571,3830,11.7764,1,0,1.1695,1.0145,0.8429,-2.8996,-2.8257,-2.9523,-0.5800,7.0832
189,True,Optimization terminated successfully.,2354,3529,14.2618,1,0,-8.1251,-8.3211,-8.5544,18.5123,18.5325,18.4271,11.1875,-23.1944
190,True,Optimization terminated successfully.,2537,3803,5.5888,1,0,2.9432,2.8213,2.5547,-7.0676,-7.0227,-7.0862,-2.9718,12.9903
191,True,Optimization terminated successfully.,2397,3593,9.9299,1,0,1.8636,1.7796,1.5634,-4.5829,-4.5126,-4.5499,-1.5722,9.4646
192,True,Optimization terminated successfully.,2175,3298,12.1728,1,0,2.8037,2.6057,2.4601,-6.5950,-6.4992,-6.6525,-2.6467,12.3406
193,True,Optimization terminated successfully.,2262,3423,5.7758,0,1,-1.6883,-1.9545,-2.1185,3.8162,3.8673,3.7789,3.1068,-2.3931
194,True,Optimization terminated successfully.,2683,4023,10.4515,1,0,3.3917,3.2833,3.1014,-8.0695,-7.9599,-8.0000,-3.4556,14.3540
195,True,Optimization terminated successfully.,2248,3375,9.9569,1,0,5.0944,4.9295,4.7865,-11.9511,-11.8334,-11.9824,-5.6469,19.9124
196,True,Optimization terminated successfully.,2421,3643,10.6676,1,0,1.3212,1.2308,1.0215,-3.3950,-3.3509,-3.4473,-1.0174,7.8276
197,True,Optimization terminated successfully.,2505,3787,15.9822,1,0,-4.9396,-5.1453,-5.3592,11.2773,11.3913,11.2310,7.2724,-12.9320
198,True,Optimization terminated successfully.,3200,4770,8.5458,1,0,-19.3422,-19.5025,-19.7055,44.0711,44.1692,44.0986,25.3528,-59.4672
199,True,Optimization terminated successfully.,2371,3560,14.5242,1,0,4.6278,4.4834,4.3892,-10.8926,-10.7800,-10.8805,-4.9750,18.4208
200,True,Optimization terminated successfully.,2533,3834,16.6757,1,0,2.4597,2.2469,2.0843,-5.8571,-5.6695,-5.7570,-2.1794,11.1796
201,True,Optimization terminated successfully.,2402,3604,12.7635,0,1,-1.4341,-1.5521,-1.7486,2.9890,3.0994,2.9545,2.6722,-1.2359
202,True,Optimization terminated successfully.,2485,3715,11.2164,0,1,-0.6187,-0.7292,-0.9363,1.1143,1.1458,0.9964,1.5911,1.4544
203,True,Optimization terminated successfully.,2547,3808,9.6225,1,0,1.5082,1.3693,1.1653,-3.7674,-3.6787,-3.7442,-1.1142,8.2902
204,True,Optimization terminated successfully.,2169,3277,19.6821,1,0,1.8044,1.6785,1.5044,-4.4817,-4.4389,-4.4720,-1.5804,9.3445
205,True,Optimization terminated successfully.,2209,3323,19.5531,0,1,0.1661,0.0614,-0.0991,-0.7019,-0.6224,-0.6889,0.6860,3.9931
206,True,Optimization terminated successfully.,2598,3893,22.5239,1,0,-3.4458,-3.5708,-3.7571,7.6823,7.7523,7.6683,5.2086,-7.8704
207,True,Optimization terminated successfully.,3071,4571,7.1222,1,0,0.7433,0.5368,0.3660,-1.8358,-1.7820,-1.8175,-0.0788,5.6214
208,True,Optimization terminated successfully.,3062,4601,8.1240,1,0,1.5523,1.3771,1.1796,-3.7005,-3.6110,-3.6803,-0.9737,8.2779
209,True,Optimization terminated successfully.,2500,3751,14.5083,1,0,1.4120,1.2911,1.1465,-3.4616,-3.3531,-3.4271,-0.9791,7.9392
210,True,Optimization terminated successfully.,2734,4064,6.7191,1,0,-3.2413,-3.4660,-3.5417,7.2743,7.3357,7.2284,4.8855,-7.3331
211,True,Optimization terminated successfully.,2864,4224,12.4669,0,1,0.4657,0.2949,0.1050,-1.3182,-1.0840,-1.2555,0.4028,4.7985
212,True,Optimization terminated successfully.,2349,3546,1.5423,0,1,-2.0727,-2.2712,-2.4736,4.5812,4.6493,4.4919,3.4637,-3.4934
213,True,Optimization terminated successfully.,2588,3835,9.2053,0,1,0.4765,0.3048,0.1034,-1.1898,-1.0345,-1.1587,0.3805,4.6200
214,True,Optimization terminated successfully.,2266,3403,6.4129,1,0,1.2520,1.1255,0.8929,-3.1394,-3.0572,-3.1729,-0.7105,7.4174
215,True,Optimization terminated successfully.,2630,3917,31.6287,1,0,1.0895,0.9248,0.7756,-2.8350,-2.6455,-2.8337,-0.5784,6.9456
216,True,Optimization terminated successfully.,2463,3699,8.3171,0,1,-0.0673,-0.1984,-0.3649,-0.1050,0.0314,-0.0704,0.9056,3.0778
217,True,Optimization terminated successfully.,2562,3821,20.8033,1,0,1.0997,0.9956,0.7779,-2.8699,-2.7777,-2.9311,-0.6884,7.0025
218,True,Optimization terminated successfully.,2501,3731,11.7050,0,1,-0.9199,-1.1333,-1.2766,1.8240,1.9152,1.7624,1.9560,0.4244
219,True,Optimization terminated successfully.,2546,3836,7.6833,1,0,1.8472,1.7199,1.5474,-4.4264,-4.3184,-4.4363,-1.4939,9.2401
220,True,Optimization terminated successfully.,2805,4191,11.3778,1,0,-2.3700,-2.6189,-2.7074,5.1839,5.3130,5.2557,3.8626,-4.4267
221,True,Optimization terminated successfully.,2543,3814,15.0476,1,0,0.7630,0.5830,0.4181,-1.9067,-1.8136,-1.9393,-0.0663,5.7356
222,True,Optimization terminated successfully.,2535,3823,26.2810,0,1,0.2985,0.1266,-0.0472,-1.0261,-0.8864,-0.9772,0.3041,4.3490
223,True,Optimization terminated successfully.,2357,3552,38.0871,1,0,0.9425,0.7668,0.5195,-2.2888,-2.1968,-2.2873,-0.1700,6.2072
224,True,Optimization terminated successfully.,2373,3546,11.8260,0,1,0.3065,0.1432,-0.0720,-0.9848,-0.7267,-0.8681,0.4824,4.2288
225,True,Optimization terminated successfully.,2415,3623,9.0803,0,1,0.4819,0.2169,0.0029,-1.1493,-0.9626,-1.1740,0.4947,4.5872
226,True,Optimization terminated successfully.,2654,4003,24.0359,1,0,4.3785,4.2587,4.0370,-10.2695,-10.1756,-10.2431,-4.7619,17.5628
