toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_C,dthe_E,dthe_D,dpe_C,dpe_E,dpe_D,dthp,dpp
140,True,Optimization terminated successfully.,2527,3782,13.0837,0,1,-1.6885,-1.8413,-2.0269,3.6486,3.7744,3.7204,3.0278,-2.2058
141,True,Optimization terminated successfully.,2244,3329,26.7776,0,1,-0.5581,-0.7125,-0.8684,1.0209,1.1417,1.0396,1.6110,1.4743
142,True,Optimization terminated successfully.,2250,3369,14.7752,0,1,-0.3992,-0.6025,-0.7093,0.7182,0.8305,0.7329,1.3001,1.9625
143,True,Optimization terminated successfully.,2372,3564,20.3886,1,0,1.3702,1.1393,0.9261,-3.2545,-3.1562,-3.2803,-0.8737,7.6095
144,True,Optimization terminated successfully.,2270,3433,16.7159,1,0,0.7127,0.4278,0.3041,-1.7547,-1.6113,-1.7416,0.0421,5.4380
145,True,Optimization terminated successfully.,2935,4385,19.3860,1,0,-8.9751,-9.0562,-9.3689,20.2696,20.3891,20.2733,12.1914,-25.7978
146,True,Optimization terminated successfully.,2505,3773,12.4717,1,0,-11.4988,-11.6409,-11.7988,26.1230,26.2112,26.0514,15.3911,-33.9468
147,True,Optimization terminated successfully.,2424,3615,4.7587,0,1,0.1360,-0.0300,-0.2337,-0.4990,-0.3111,-0.4659,0.8419,3.6552
148,True,Optimization terminated successfully.,2923,4353,19.8936,1,0,0.4451,0.2996,0.1843,-1.4592,-1.2679,-1.4672,0.1635,5.0299
149,True,Optimization terminated successfully.,2369,3536,16.7509,1,0,1.6204,1.3994,1.2317,-3.9077,-3.7351,-3.9059,-1.1591,8.4858
150,True,Optimization terminated successfully.,2266,3408,17.3796,1,0,0.6846,0.6274,0.4419,-1.9641,-1.8289,-1.9435,-0.0861,5.7189
151,True,Optimization terminated successfully.,2395,3606,16.8972,1,0,5.6610,5.5654,5.3525,-13.3583,-13.2469,-13.3930,-6.3993,21.8997
