parameter,central_value,toy_mean,toy_std,p16,p50,p84,minus_err,plus_err,n_toys_physical
dthe_C,-1.1391,-0.5095,0.7424,-1.3587,-0.3599,0.2850,0.2196,1.4241,663
dthe_E,-1.3007,-0.6663,0.7434,-1.5401,-0.5169,0.1312,0.2394,1.4319,663
dthe_D,-1.4953,-0.8638,0.7441,-1.7388,-0.7093,-0.0704,0.2435,1.4249,663
dpe_C,2.4028,0.9520,1.7021,-0.8508,0.6249,2.9883,3.2536,0.5855,663
dpe_E,2.5071,1.0565,1.7002,-0.7338,0.7211,3.0925,3.2409,0.5854,663
dpe_D,2.3954,0.9408,1.7011,-0.8340,0.5924,2.9603,3.2294,0.5649,663
dthp,2.3221,1.5190,0.9421,0.5105,1.3267,2.6228,1.8116,0.3007,663
dpp,-0.4219,1.6353,2.4099,-1.2360,2.1182,4.1935,0.8141,4.6154,663
