fit_type,fit_k_sigma,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev,exact_inversion_flag
scipy_nelder_mead,0.75,D,-6.384,6.0,4.5,7.5,Pmy,8.743176,0.583078,9.348706,0.829620,8.762299,-0.019123,-0.032797,-1.067787,1.633690,-1.269633,0.578742,0.732603,4,4,0,True,Optimization terminated successfully.,144,252,0
scipy_nelder_mead,1.00,C,-6.72,1.0,-0.5,2.5,W,3.542361,2.784197,32.728209,6.218202,4.494303,-0.951942,-0.341909,-1.275519,2.509015,-0.480789,-0.412220,1.099123,4,4,0,True,Optimization terminated successfully.,262,449,0
scipy_nelder_mead,1.00,C,-6.72,1.0,-0.5,2.5,Em,-14.758033,0.444188,6.405842,0.606658,-14.885692,0.127659,0.287398,-1.275519,2.509015,-0.480789,-0.412220,1.099123,4,4,0,True,Optimization terminated successfully.,262,449,0
scipy_nelder_mead,1.00,C,-6.72,1.0,-0.5,2.5,Pmz,17.377466,1.485755,11.937034,1.185761,15.968250,1.409216,0.948485,-1.275519,2.509015,-0.480789,-0.412220,1.099123,4,4,0,True,Optimization terminated successfully.,262,449,0
scipy_nelder_mead,1.00,C,-6.72,1.0,-0.5,2.5,Pmy,8.121400,0.416792,9.339337,0.481023,8.121520,-0.000120,-0.000289,-1.275519,2.509015,-0.480789,-0.412220,1.099123,4,4,0,True,Optimization terminated successfully.,262,449,0
scipy_nelder_mead,1.00,E,-6.6048,3.0,1.5,4.5,W,4.619299,1.963715,27.499091,3.584051,3.437131,1.182168,0.602006,-0.684549,1.251008,-1.209904,1.406047,1.275983,4,4,0,True,Optimization terminated successfully.,215,372,0
scipy_nelder_mead,1.00,E,-6.6048,3.0,1.5,4.5,Em,-15.390614,0.461763,6.288532,0.621606,-15.044868,-0.345746,-0.748753,-0.684549,1.251008,-1.209904,1.406047,1.275983,4,4,0,True,Optimization terminated successfully.,215,372,0
scipy_nelder_mead,1.00,E,-6.6048,3.0,1.5,4.5,Pmz,15.722114,0.372301,9.357576,0.425636,15.943294,-0.221180,-0.594088,-0.684549,1.251008,-1.209904,1.406047,1.275983,4,4,0,True,Optimization terminated successfully.,215,372,0
scipy_nelder_mead,1.00,E,-6.6048,3.0,1.5,4.5,Pmy,8.485046,0.417548,9.540934,0.505276,8.485301,-0.000255,-0.000610,-0.684549,1.251008,-1.209904,1.406047,1.275983,4,4,0,True,Optimization terminated successfully.,215,372,0
scipy_nelder_mead,1.00,D,-6.384,6.0,4.5,7.5,W,11.854343,2.726574,28.683573,4.329467,10.660806,1.193537,0.437742,-1.087694,1.503177,-1.413659,0.991789,0.790219,4,4,0,True,Optimization terminated successfully.,285,469,0
scipy_nelder_mead,1.00,D,-6.384,6.0,4.5,7.5,Em,-15.321302,0.800938,7.526711,1.070738,-14.777482,-0.543820,-0.678979,-1.087694,1.503177,-1.413659,0.991789,0.790219,4,4,0,True,Optimization terminated successfully.,285,469,0
scipy_nelder_mead,1.00,D,-6.384,6.0,4.5,7.5,Pmz,16.890804,0.443712,9.365815,0.533031,17.055389,-0.164585,-0.370928,-1.087694,1.503177,-1.413659,0.991789,0.790219,4,4,0,True,Optimization terminated successfully.,285,469,0
scipy_nelder_mead,1.00,D,-6.384,6.0,4.5,7.5,Pmy,8.743176,0.583078,9.348706,0.829620,8.743181,-0.000005,-0.000009,-1.087694,1.503177,-1.413659,0.991789,0.790219,4,4,0,True,Optimization terminated successfully.,285,469,0
scipy_nelder_mead,1.50,C,-6.72,1.0,-0.5,2.5,W,2.871331,1.263323,27.792263,1.382291,0.841979,2.029352,1.606360,-0.326260,0.670438,-1.420197,2.022055,14.069421,4,4,0,True,Optimization terminated successfully.,216,375,0
scipy_nelder_mead,1.50,C,-6.72,1.0,-0.5,2.5,Em,-14.757206,0.321204,6.501951,0.340162,-14.062959,-0.694247,-2.161388,-0.326260,0.670438,-1.420197,2.022055,14.069421,4,4,0,True,Optimization terminated successfully.,216,375,0
scipy_nelder_mead,1.50,C,-6.72,1.0,-0.5,2.5,Pmz,13.424871,0.394100,9.112102,0.324370,14.453874,-1.029003,-2.611021,-0.326260,0.670438,-1.420197,2.022055,14.069421,4,4,0,True,Optimization terminated successfully.,216,375,0
scipy_nelder_mead,1.50,C,-6.72,1.0,-0.5,2.5,Pmy,8.452749,0.347197,9.790159,0.327893,8.452587,0.000162,0.000467,-0.326260,0.670438,-1.420197,2.022055,14.069421,4,4,0,True,Optimization terminated successfully.,216,375,0
