fit_type,fit_k_sigma,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,dtheta_e_err,dpe_err,dtheta_p_err,dpp_err,minuit_status,cov_status,edm,exact_inversion_flag
tminuit_simplex,1.000,C,-6.720,1.000,-0.500,2.500,W,3.542,2.784,32.728,6.218,3.542,0.001,0.000,57.019,-131.213,-74.412,189.260,0.000,4,4,0,True,"ok",0.350,0.766,0.445,1.088,0,2,0.000,1
tminuit_simplex,1.000,C,-6.720,1.000,-0.500,2.500,Em,-14.758,0.444,6.406,0.607,-14.758,0.000,0.000,57.019,-131.213,-74.412,189.260,0.000,4,4,0,True,"ok",0.350,0.766,0.445,1.088,0,2,0.000,1
tminuit_simplex,1.000,C,-6.720,1.000,-0.500,2.500,Pmz,17.377,1.486,11.937,1.186,17.377,0.000,0.000,57.019,-131.213,-74.412,189.260,0.000,4,4,0,True,"ok",0.350,0.766,0.445,1.088,0,2,0.000,1
tminuit_simplex,1.000,C,-6.720,1.000,-0.500,2.500,Pmy,8.121,0.417,9.339,0.481,8.121,0.000,0.000,57.019,-131.213,-74.412,189.260,0.000,4,4,0,True,"ok",0.350,0.766,0.445,1.088,0,2,0.000,1
tminuit_migrad,1.000,C,-6.720,1.000,-0.500,2.500,W,3.542,2.784,32.728,6.218,3.542,0.000,0.000,57.023,-131.224,-74.417,189.274,0.000,4,4,0,True,"ok",0.350,0.766,0.445,1.088,0,2,0.000,1
tminuit_migrad,1.000,C,-6.720,1.000,-0.500,2.500,Em,-14.758,0.444,6.406,0.607,-14.758,-0.000,-0.000,57.023,-131.224,-74.417,189.274,0.000,4,4,0,True,"ok",0.350,0.766,0.445,1.088,0,2,0.000,1
tminuit_migrad,1.000,C,-6.720,1.000,-0.500,2.500,Pmz,17.377,1.486,11.937,1.186,17.377,-0.000,-0.000,57.023,-131.224,-74.417,189.274,0.000,4,4,0,True,"ok",0.350,0.766,0.445,1.088,0,2,0.000,1
tminuit_migrad,1.000,C,-6.720,1.000,-0.500,2.500,Pmy,8.121,0.417,9.339,0.481,8.121,-0.000,-0.000,57.023,-131.224,-74.417,189.274,0.000,4,4,0,True,"ok",0.350,0.766,0.445,1.088,0,2,0.000,1
tminuit_simplex,1.000,D,-6.384,6.000,4.500,7.500,W,11.854,2.727,28.684,4.329,11.854,0.000,0.000,-33.152,74.993,39.190,-103.146,0.000,4,4,0,True,"ok",0.390,0.875,0.510,1.239,0,2,0.000,1
tminuit_simplex,1.000,D,-6.384,6.000,4.500,7.500,Em,-15.321,0.801,7.527,1.071,-15.321,-0.001,-0.001,-33.152,74.993,39.190,-103.146,0.000,4,4,0,True,"ok",0.390,0.875,0.510,1.239,0,2,0.000,1
tminuit_simplex,1.000,D,-6.384,6.000,4.500,7.500,Pmz,16.891,0.444,9.366,0.533,16.891,0.000,0.000,-33.152,74.993,39.190,-103.146,0.000,4,4,0,True,"ok",0.390,0.875,0.510,1.239,0,2,0.000,1
tminuit_simplex,1.000,D,-6.384,6.000,4.500,7.500,Pmy,8.743,0.583,9.349,0.830,8.743,-0.000,-0.000,-33.152,74.993,39.190,-103.146,0.000,4,4,0,True,"ok",0.390,0.875,0.510,1.239,0,2,0.000,1
tminuit_migrad,1.000,D,-6.384,6.000,4.500,7.500,W,11.854,2.727,28.684,4.329,11.854,-0.000,-0.000,-33.172,75.040,39.216,-103.213,0.000,4,4,0,True,"ok",0.390,0.875,0.510,1.239,0,2,0.000,1
tminuit_migrad,1.000,D,-6.384,6.000,4.500,7.500,Em,-15.321,0.801,7.527,1.071,-15.321,0.000,0.000,-33.172,75.040,39.216,-103.213,0.000,4,4,0,True,"ok",0.390,0.875,0.510,1.239,0,2,0.000,1
tminuit_migrad,1.000,D,-6.384,6.000,4.500,7.500,Pmz,16.891,0.444,9.366,0.533,16.891,0.000,0.000,-33.172,75.040,39.216,-103.213,0.000,4,4,0,True,"ok",0.390,0.875,0.510,1.239,0,2,0.000,1
tminuit_migrad,1.000,D,-6.384,6.000,4.500,7.500,Pmy,8.743,0.583,9.349,0.830,8.743,0.000,0.000,-33.172,75.040,39.216,-103.213,0.000,4,4,0,True,"ok",0.390,0.875,0.510,1.239,0,2,0.000,1
tminuit_simplex,1.000,E,-6.605,3.000,1.500,4.500,W,4.619,1.964,27.499,3.584,3.493,1.126,0.574,-1.838,3.893,0.249,-2.338,1.170,4,4,0,True,"ok",0.290,0.651,0.377,0.923,0,2,0.000,0
tminuit_simplex,1.000,E,-6.605,3.000,1.500,4.500,Em,-15.391,0.462,6.289,0.622,-15.059,-0.332,-0.719,-1.838,3.893,0.249,-2.338,1.170,4,4,0,True,"ok",0.290,0.651,0.377,0.923,0,2,0.000,0
tminuit_simplex,1.000,E,-6.605,3.000,1.500,4.500,Pmz,15.722,0.372,9.358,0.426,15.934,-0.212,-0.569,-1.838,3.893,0.249,-2.338,1.170,4,4,0,True,"ok",0.290,0.651,0.377,0.923,0,2,0.000,0
tminuit_simplex,1.000,E,-6.605,3.000,1.500,4.500,Pmy,8.485,0.418,9.541,0.505,8.487,-0.002,-0.004,-1.838,3.893,0.249,-2.338,1.170,4,4,0,True,"ok",0.290,0.651,0.377,0.923,0,2,0.000,0
tminuit_migrad,1.000,E,-6.605,3.000,1.500,4.500,W,4.619,1.964,27.499,3.584,4.619,0.000,0.000,-27.795,63.370,33.104,-86.643,0.000,4,4,0,True,"ok",0.290,0.651,0.377,0.923,0,2,0.000,1
tminuit_migrad,1.000,E,-6.605,3.000,1.500,4.500,Em,-15.391,0.462,6.289,0.622,-15.391,-0.000,-0.000,-27.795,63.370,33.104,-86.643,0.000,4,4,0,True,"ok",0.290,0.651,0.377,0.923,0,2,0.000,1
tminuit_migrad,1.000,E,-6.605,3.000,1.500,4.500,Pmz,15.722,0.372,9.358,0.426,15.722,-0.000,-0.000,-27.795,63.370,33.104,-86.643,0.000,4,4,0,True,"ok",0.290,0.651,0.377,0.923,0,2,0.000,1
tminuit_migrad,1.000,E,-6.605,3.000,1.500,4.500,Pmy,8.485,0.418,9.541,0.505,8.485,0.000,0.000,-27.795,63.370,33.104,-86.643,0.000,4,4,0,True,"ok",0.290,0.651,0.377,0.923,0,2,0.000,1
tminuit_simplex,1.500,C,-6.720,1.000,-0.500,2.500,W,2.871,1.263,27.792,1.382,2.871,0.000,0.000,-72.308,165.710,89.791,-231.957,0.000,4,4,0,True,"ok",0.235,0.531,0.306,0.754,0,2,0.000,1
tminuit_simplex,1.500,C,-6.720,1.000,-0.500,2.500,Em,-14.757,0.321,6.502,0.340,-14.757,0.000,0.000,-72.308,165.710,89.791,-231.957,0.000,4,4,0,True,"ok",0.235,0.531,0.306,0.754,0,2,0.000,1
tminuit_simplex,1.500,C,-6.720,1.000,-0.500,2.500,Pmz,13.425,0.394,9.112,0.324,13.425,0.000,0.001,-72.308,165.710,89.791,-231.957,0.000,4,4,0,True,"ok",0.235,0.531,0.306,0.754,0,2,0.000,1
tminuit_simplex,1.500,C,-6.720,1.000,-0.500,2.500,Pmy,8.453,0.347,9.790,0.328,8.453,0.000,0.000,-72.308,165.710,89.791,-231.957,0.000,4,4,0,True,"ok",0.235,0.531,0.306,0.754,0,2,0.000,1
tminuit_migrad,1.500,C,-6.720,1.000,-0.500,2.500,W,2.871,1.263,27.792,1.382,2.871,-0.000,-0.000,-72.300,165.693,89.781,-231.933,0.000,4,4,0,True,"ok",0.235,0.531,0.306,0.754,0,2,0.000,1
tminuit_migrad,1.500,C,-6.720,1.000,-0.500,2.500,Em,-14.757,0.321,6.502,0.340,-14.757,0.000,0.000,-72.300,165.693,89.781,-231.933,0.000,4,4,0,True,"ok",0.235,0.531,0.306,0.754,0,2,0.000,1
tminuit_migrad,1.500,C,-6.720,1.000,-0.500,2.500,Pmz,13.425,0.394,9.112,0.324,13.425,0.000,0.000,-72.300,165.693,89.781,-231.933,0.000,4,4,0,True,"ok",0.235,0.531,0.306,0.754,0,2,0.000,1
tminuit_migrad,1.500,C,-6.720,1.000,-0.500,2.500,Pmy,8.453,0.347,9.790,0.328,8.453,0.000,0.000,-72.300,165.693,89.781,-231.933,0.000,4,4,0,True,"ok",0.235,0.531,0.306,0.754,0,2,0.000,1
tminuit_simplex,1.500,D,-6.384,6.000,4.500,7.500,W,10.475,1.425,27.011,1.577,10.476,-0.000,-0.000,-27.677,62.555,32.380,-85.622,0.000,4,4,0,True,"ok",0.265,0.599,0.345,0.848,0,2,0.000,1
tminuit_simplex,1.500,D,-6.384,6.000,4.500,7.500,Em,-14.751,0.414,7.726,0.517,-14.751,0.000,0.000,-27.677,62.555,32.380,-85.622,0.000,4,4,0,True,"ok",0.265,0.599,0.345,0.848,0,2,0.000,1
tminuit_simplex,1.500,D,-6.384,6.000,4.500,7.500,Pmz,16.207,0.357,8.775,0.367,16.207,-0.000,-0.000,-27.677,62.555,32.380,-85.622,0.000,4,4,0,True,"ok",0.265,0.599,0.345,0.848,0,2,0.000,1
tminuit_simplex,1.500,D,-6.384,6.000,4.500,7.500,Pmy,8.671,0.390,9.689,0.402,8.671,-0.000,-0.000,-27.677,62.555,32.380,-85.622,0.000,4,4,0,True,"ok",0.265,0.599,0.345,0.848,0,2,0.000,1
tminuit_migrad,1.500,D,-6.384,6.000,4.500,7.500,W,10.475,1.425,27.011,1.577,10.475,0.000,0.000,-27.675,62.550,32.377,-85.615,0.000,4,4,0,True,"ok",0.265,0.599,0.345,0.848,0,2,0.000,1
