fit_type,fit_k_sigma,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,dtheta_e_err,dpe_err,dtheta_p_err,dpp_err,minuit_status,cov_status,edm,exact_inversion_flag
tminuit_migrad,2.000,C,-6.720,1.000,-0.500,2.500,Em,-14.294,0.272,6.796,0.277,-14.294,-0.000,-0.000,-56.457,129.356,69.685,-180.482,0.000,4,4,0,True,"ok",0.212,0.478,0.276,0.678,0,2,0.000,1
tminuit_migrad,2.000,C,-6.720,1.000,-0.500,2.500,Pmz,13.362,0.401,9.281,0.333,13.362,-0.000,-0.000,-56.457,129.356,69.685,-180.482,0.000,4,4,0,True,"ok",0.212,0.478,0.276,0.678,0,2,0.000,1
tminuit_migrad,2.000,C,-6.720,1.000,-0.500,2.500,Pmy,8.496,0.333,10.235,0.293,8.496,0.000,0.000,-56.457,129.356,69.685,-180.482,0.000,4,4,0,True,"ok",0.212,0.478,0.276,0.678,0,2,0.000,1
tminuit_simplex,2.000,D,-6.384,6.000,4.500,7.500,W,11.905,1.091,27.761,1.127,11.580,0.325,0.298,-2.214,4.003,-0.021,-2.733,0.666,4,4,0,True,"ok",0.241,0.547,0.313,0.775,0,2,0.000,0
tminuit_simplex,2.000,D,-6.384,6.000,4.500,7.500,Em,-14.151,0.387,8.456,0.400,-13.934,-0.217,-0.561,-2.214,4.003,-0.021,-2.733,0.666,4,4,0,True,"ok",0.241,0.547,0.313,0.775,0,2,0.000,0
tminuit_simplex,2.000,D,-6.384,6.000,4.500,7.500,Pmz,16.158,0.359,8.317,0.272,16.342,-0.184,-0.512,-2.214,4.003,-0.021,-2.733,0.666,4,4,0,True,"ok",0.241,0.547,0.313,0.775,0,2,0.000,0
tminuit_simplex,2.000,D,-6.384,6.000,4.500,7.500,Pmy,8.518,0.328,9.555,0.263,8.518,-0.001,-0.002,-2.214,4.003,-0.021,-2.733,0.666,4,4,0,True,"ok",0.241,0.547,0.313,0.775,0,2,0.000,0
tminuit_migrad,2.000,D,-6.384,6.000,4.500,7.500,W,11.905,1.091,27.761,1.127,11.905,0.000,0.000,-18.028,40.274,20.029,-54.141,0.000,4,4,0,True,"ok",0.241,0.547,0.313,0.775,0,2,0.000,1
tminuit_migrad,2.000,D,-6.384,6.000,4.500,7.500,Em,-14.151,0.387,8.456,0.400,-14.151,-0.000,-0.000,-18.028,40.274,20.029,-54.141,0.000,4,4,0,True,"ok",0.241,0.547,0.313,0.775,0,2,0.000,1
tminuit_migrad,2.000,D,-6.384,6.000,4.500,7.500,Pmz,16.158,0.359,8.317,0.272,16.158,-0.000,-0.000,-18.028,40.274,20.029,-54.141,0.000,4,4,0,True,"ok",0.241,0.547,0.313,0.775,0,2,0.000,1
tminuit_migrad,2.000,D,-6.384,6.000,4.500,7.500,Pmy,8.518,0.328,9.555,0.263,8.518,-0.000,-0.000,-18.028,40.274,20.029,-54.141,0.000,4,4,0,True,"ok",0.241,0.547,0.313,0.775,0,2,0.000,1
tminuit_simplex,2.000,E,-6.605,3.000,1.500,4.500,W,5.162,1.031,28.825,0.956,5.162,-0.000,-0.000,-44.337,101.293,53.974,-140.516,0.000,4,4,0,True,"ok",0.210,0.474,0.273,0.673,0,2,0.000,1
tminuit_simplex,2.000,E,-6.605,3.000,1.500,4.500,Em,-15.034,0.287,6.984,0.274,-15.034,-0.000,-0.000,-44.337,101.293,53.974,-140.516,0.000,4,4,0,True,"ok",0.210,0.474,0.273,0.673,0,2,0.000,1
tminuit_simplex,2.000,E,-6.605,3.000,1.500,4.500,Pmz,14.976,0.352,8.841,0.280,14.976,-0.000,-0.000,-44.337,101.293,53.974,-140.516,0.000,4,4,0,True,"ok",0.210,0.474,0.273,0.673,0,2,0.000,1
tminuit_simplex,2.000,E,-6.605,3.000,1.500,4.500,Pmy,8.894,0.318,9.955,0.267,8.894,-0.000,-0.000,-44.337,101.293,53.974,-140.516,0.000,4,4,0,True,"ok",0.210,0.474,0.273,0.673,0,2,0.000,1
tminuit_migrad,2.000,E,-6.605,3.000,1.500,4.500,W,5.162,1.031,28.825,0.956,5.162,-0.000,-0.000,-44.343,101.305,53.981,-140.533,0.000,4,4,0,True,"ok",0.210,0.474,0.273,0.673,0,2,0.000,1
tminuit_migrad,2.000,E,-6.605,3.000,1.500,4.500,Em,-15.034,0.287,6.984,0.274,-15.034,0.000,0.000,-44.343,101.305,53.981,-140.533,0.000,4,4,0,True,"ok",0.210,0.474,0.273,0.673,0,2,0.000,1
tminuit_migrad,2.000,E,-6.605,3.000,1.500,4.500,Pmz,14.976,0.352,8.841,0.280,14.976,0.000,0.000,-44.343,101.305,53.981,-140.533,0.000,4,4,0,True,"ok",0.210,0.474,0.273,0.673,0,2,0.000,1
tminuit_migrad,2.000,E,-6.605,3.000,1.500,4.500,Pmy,8.894,0.318,9.955,0.267,8.894,-0.000,-0.000,-44.343,101.305,53.981,-140.533,0.000,4,4,0,True,"ok",0.210,0.474,0.273,0.673,0,2,0.000,1
