category,run,BCM2_I,normyield,normyield_err,target_raw,run_type_raw,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor
signal,24222,47.482,32.9682,0.731679,"LH2","PI+SIDIS",83.849,1,0.9988,1.03605,"ps6",1
signal,24223,50.928,38.9128,1.12457,"LH2","PI+SIDIS",41.27,1,0.9987,1.0374,"ps5",1
signal,24224,49.107,34.7416,0.749301,"LH2","PI+SIDIS",83.475,1,0.9988,1.03452,"ps6",1
signal,24225,50.88,34.7257,1.24022,"LH2","PI+SIDIS",30.522,1,0.9988,1.03443,"ps6",1
signal,24226,47.516,34.738,0.733485,"LH2","PI+SIDIS",86.906,1,0.9986,1.03138,"ps6",1
signal,24227,47.347,34.1484,0.659108,"LH2","PI+SIDIS",106.18,1,0.9986,1.03071,"ps6",1
signal,24228,48.278,33.5747,0.753422,"LH2","PI+SIDIS",79.823,1,0.9989,1.0366,"ps6",1
signal,24229,31.926,33.1939,0.845918,"LH2","PI+SIDIS",57.677,1,0.9988,1.02356,"ps6",1
signal,24230,17.017,36.7149,1.14611,"LH2","PI+SIDIS",31.29,1,0.9987,1.01243,"ps6",1
signal,24257,48.261,33.3799,0.731038,"LH2","PI+SIDIS",84.84,1,0.9985,1.03493,"ps6",1
signal,24258,44.119,33.9062,0.769053,"LH2","PI+SIDIS",77.132,1,0.9988,1.03121,"ps6",1
signal,24259,46.179,34.3155,0.769075,"LH2","PI+SIDIS",78.569,1,0.9984,1.03002,"ps6",1
signal,24260,45.837,33.9503,0.797871,"LH2","PI+SIDIS",72.234,1,0.9988,1.03209,"ps6",1
signal,24261,42.636,34.6783,0.884212,"LH2","PI+SIDIS",59.827,1,0.9989,1.02773,"ps6",1
signal,24262,43.866,33.4834,0.804555,"LH2","PI+SIDIS",70.08,1,0.9989,1.02806,"ps6",1
signal,24263,32.774,33.6391,0.848614,"LH2","PI+SIDIS",57.764,1,0.9986,1.02309,"ps6",1
signal,24264,17.18,35.923,1.1562,"LH2","PI+SIDIS",30.099,1,0.999,1.01254,"ps6",1
positron,24554,48.634,0.460613,0.130588,"LH2","PI+SIDIS",79.842,1,0.9969,1.03958,"ps6",1
dummy,24232,38.202,17.7821,0.553165,"Dummy","PI+SIDIS",70.995,1,0.9984,1,"ps6",1
dummy,24233,38.977,17.403,0.558734,"Dummy","PI+SIDIS",67.732,1,0.9983,1,"ps6",1
dummy,24234,39.693,17.0028,0.546106,"Dummy","PI+SIDIS",70.086,1,0.9988,1,"ps6",1
dummy,24268,38.466,16.4333,0.540328,"Dummy","PI+SIDIS",68.642,1,0.9988,1,"ps6",1
dummy,24269,39.508,17.4215,0.594918,"Dummy","PI+SIDIS",59.177,1,0.9988,1,"ps6",1
positron_dummy,24555,37.467,0.0911329,0.0878495,"Dummy","PI+SIDIS",56.971,1,0.995,1,"ps6",1
