run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
27122,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,314478,14334,51.4112,0.399453,14334,1,0,1,3,2.84765,3,0.949218,4.62323e-06,51.4112,0.399453,,OK
27123,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,293272,13311,51.412,0.39877,13311,1,0,1,3,4.61253,3,1.53751,9.33526e-06,51.412,0.39877,,OK
27124,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,315077,14354,51.3885,0.393739,14354,1,0,1,3,0.348685,3,0.116228,4.68427e-06,51.3885,0.393739,,OK
27125,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,268049,12454,51.4035,0.365441,12454,1,0,1,3,10.6934,3,3.56447,1.97624e-07,51.4035,0.365441,,OK
27126,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,125156,5790,51.371,0.397067,5790,1,0,1,3,1.85512,3,0.618375,1.25234e-06,51.371,0.397067,,OK
27127,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,451933,20831,51.3942,0.380183,20831,1,0,1,3,0.916913,3,0.305638,2.15173e-07,51.3942,0.380183,,OK
27128,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,102529,4629,51.4311,0.428607,4629,1,0,1,3,1.86662,3,0.622207,1.2353e-06,51.4311,0.428607,,OK
27129,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,517439,23621,51.4131,0.401754,23621,1,0,1,3,3.70278,3,1.23426,8.61454e-06,51.4131,0.401754,,OK
27130,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,306662,14068,51.288,0.390382,14068,1,0,1,3,2.83892,3,0.946307,4.60467e-06,51.288,0.390382,,OK
27131,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,321559,14732,51.2894,0.368678,14732,1,0,1,3,6.42341,3,2.14114,7.21608e-07,51.2894,0.368678,,OK
27132,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,763481,2236,51.2631,0.318504,2236,1,0,1,3,2.21394,3,0.73798,1.56319e-08,51.2631,0.318504,,OK
27133,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,3394078,9808,51.3298,0.347554,9808,1,0,1,3,2.81049,3,0.936831,4.22995e-08,51.3298,0.347554,,OK
27135,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,122382,4677,51.2972,0.360153,4677,1,0,1,3,2.17002,3,0.72334,4.42347e-06,51.2972,0.360153,,OK
27136,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,121295,4581,51.3112,0.369467,4581,1,0,1,3,1.99086,3,0.663619,1.9976e-07,51.3112,0.369467,,OK
27137,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,119580,4639,51.3651,0.326816,4639,1,0,1,3,5.90318,3,1.96773,2.62522e-06,51.3651,0.326816,,OK
27139,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,287429,12707,51.2657,0.387681,12707,1,0,1,3,0.437487,3,0.145829,6.12266e-08,51.2657,0.387681,,OK
27140,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,308880,13988,51.2566,0.351259,13988,1,0,1,3,0.346154,3,0.115385,7.12036e-06,51.2566,0.351259,,OK
27141,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,314295,14347,51.3173,0.309092,14347,1,0,1,3,0.456499,3,0.152166,2.75788e-09,51.3173,0.309092,,OK
27142,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,319811,14472,51.3061,0.342554,14472,1,0,1,3,3.00856,3,1.00285,9.41865e-06,51.3061,0.342554,,OK
