category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,24097,14.584,240.495,9.00384,1.13418,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24097_-1.root",OK
signal,24098,13.874,230.12,7.05869,0.281316,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24098_-1.root",OK
signal,24099,13.858,230.063,7.08453,0.276512,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24099_-1.root",OK
signal,24100,13.558,224.972,7.10459,0.295883,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24100_-1.root",OK
signal,24101,13.636,226.16,6.98573,0.27235,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24101_-1.root",OK
signal,24103,9.878,161.452,7.41677,0.308781,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24103_-1.root",OK
signal,24104,13.703,227.58,7.21237,0.24089,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24104_-1.root",OK
signal,24110,13.611,215.499,6.82842,0.283005,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24110_-1.root",OK
signal,24111,14.077,223.305,6.33632,0.272955,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24111_-1.root",OK
signal,24112,14.14,233.13,6.58599,0.26452,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24112_-1.root",OK
signal,24113,9.052,146.778,7.39329,0.314377,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24113_-1.root",OK
signal,24158,14.126,234.308,6.45927,0.256561,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24158_-1.root",OK
signal,24159,13.879,229.969,6.72639,0.264066,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24159_-1.root",OK
signal,24160,14.265,237.064,6.39397,0.257117,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24160_-1.root",OK
signal,24161,14.103,233.953,6.50663,0.269817,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24161_-1.root",OK
signal,24185,14.045,232.621,6.39484,0.266768,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24185_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-5.98856155739
# FIT_aerr,7.88471646304
# FIT_b,16.9005218781
# FIT_berr,0.584710239174
# FIT_b_over_berr,28.904097698
# FIT_chi2,176.062023596
# FIT_ndf,14
# FIT_chi2ndf,12.5758588283
# FIT_prob,4.06798452568e-30
