dataset,method,init,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull
radwan_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,3.294061,-0.736784,-0.673411
radwan_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-14.021583,-0.272774,-1.003029
radwan_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,13.638426,-0.276690,-0.689554
radwan_input,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.590304,0.329922,10.234650,0.292744,9.123957,-0.533653,-1.617513
radwan_input,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,5.361988,-0.200022,-0.194001
radwan_input,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.975859,-0.058622,-0.203909
radwan_input,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352338,8.840918,0.280320,15.004140,-0.028388,-0.080570
radwan_input,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.984313,0.314767,9.954763,0.266540,9.103542,-0.119229,-0.378784
radwan_input,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,11.905280,1.091195,27.761362,1.126965,10.948367,0.956913,0.876940
radwan_input,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.151015,0.386584,8.456462,0.400337,-14.808217,0.657202,1.700023
radwan_input,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.158137,0.359273,8.317206,0.271510,15.906805,0.251332,0.699557
radwan_input,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.607762,0.325779,9.555320,0.263229,7.959711,0.648051,1.989236
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.871331,1.263402,27.792263,1.382291,1.950975,0.920356,0.728474
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.757206,0.321204,6.501951,0.340162,-13.888459,-0.868747,-2.704657
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.424871,0.394100,9.112102,0.324370,14.483688,-1.058817,-2.686671
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.452749,0.347197,9.790159,0.327893,8.910828,-0.458079,-1.319363
