run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
25023,signal,LD2,HMSDIS,12443.264,0.9983,0.99742,97.7887,32.8236,1.004482,-1.0,-1.0,ps5,-1.0
25028,dummy,Dummy,HMSDIS,34511.279,0.9985,0.99761,97.3315,34.1655,1.0,-1.0,-1.0,ps5,-1.0
