category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,25233,47.954,2.669,32.2307,0.259082,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25233_-1.root",OK
signal,25234,47.352,2.639,32.1518,0.250634,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25234_-1.root",OK
signal,25235,49.037,2.807,31.9428,0.248796,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25235_-1.root",OK
signal,25236,24.78,1.088,32.0594,0.342348,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25236_-1.root",OK
signal,25237,25.174,1.131,33.1809,0.344872,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25237_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-0.616043527584
# FIT_aerr,0.0450865588224
# FIT_b,0.0690397568564
# FIT_berr,0.00111372688654
# FIT_b_over_berr,61.9898448091
# FIT_chi2,0.00239620263995
# FIT_ndf,3
# FIT_chi2ndf,0.000798734213317
# FIT_prob,0.999968826042
