fit_k_sigma,setting,run,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_label,dp_lo,dp_hi,bin_center,var,norm_win_lo_MeV,norm_win_hi_MeV,intD_win,intS_win,sim_scale,entriesD,entriesS,entriesD_fit_range,entriesS_fit_range,seed_muD_MeV,seed_sigD_MeV,seed_loD_MeV,seed_hiD_MeV,fit_loD_MeV,fit_hiD_MeV,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,seed_muS_MeV,seed_sigS_MeV,seed_loS_MeV,seed_hiS_MeV,fit_loS_MeV,fit_hiS_MeV,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
0.750000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Em,-13.560204,-1.248956,460.000000,0.017631,26090.360356,1075.000000,12789.000000,460.000000,2508.783167,-7.404580,8.207499,-30.000000,12.000000,-13.560204,-1.248956,-9.052390,1.243937,8.024424,2.651520,0,16.441947,3,6.984310,6.285403,-16.000000,26.000000,2.270258,11.698362,5.298709,0.262177,5.851445,0.394794,0,3.981559,2,-14.351099,1.271266,1
1.000000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Em,-15.612079,0.802918,562.000000,0.033585,16733.735596,1075.000000,12789.000000,562.000000,2040.237451,-7.404580,8.207499,-30.000000,12.000000,-15.612079,0.802918,-9.807335,0.791249,7.526711,1.070738,0,18.526446,5,6.984310,6.285403,-16.000000,26.000000,0.698907,13.269712,5.513968,0.124204,5.781017,0.170233,0,6.282363,4,-15.321302,0.800938,1
1.500000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Em,-19.715828,4.906668,687.000000,0.076208,9014.782951,1075.000000,12789.000000,687.000000,1322.499763,-7.404580,8.207499,-30.000000,12.000000,-19.715828,4.906668,-8.949951,0.406023,7.725741,0.516605,0,23.192314,9,6.984310,6.285403,-16.000000,26.000000,-2.443794,16.412414,5.801299,0.079465,5.593108,0.092646,0,19.299078,6,-14.751251,0.413726,1
2.000000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Em,-23.819577,9.010417,761.000000,0.115617,6582.064623,1075.000000,12789.000000,761.000000,998.957812,-7.404580,8.207499,-30.000000,12.000000,-23.819577,9.010417,-7.854697,0.381578,8.456462,0.400337,0,47.048497,14,6.984310,6.285403,-16.000000,26.000000,-5.586496,19.555115,6.296318,0.062014,5.544592,0.055486,0,145.923485,10,-14.151015,0.386584,1
0.500000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmz,-6.539256,17.460744,684.000000,0.141389,4837.729339,1075.000000,12789.000000,684.000000,784.681690,5.460744,15.907484,-48.000000,78.000000,-6.539256,17.460744,13.341654,1.500308,9.624250,1.098090,0,0.338979,1,-10.626990,13.864744,-66.000000,60.000000,-22.626990,1.373010,-1.348047,0.590201,8.356581,0.314644,0,154.653362,1,14.689701,1.612222,1
0.750000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmz,-6.539256,17.460744,684.000000,0.141389,4837.729339,1075.000000,12789.000000,684.000000,784.681690,5.460744,15.907484,-48.000000,78.000000,-6.539256,17.460744,13.341654,1.500308,9.624250,1.098090,0,0.338979,1,-10.626990,13.864744,-66.000000,60.000000,-22.626990,1.373010,-1.348047,0.590201,8.356581,0.314644,0,154.653362,1,14.689701,1.612222,1
1.000000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmz,-10.446740,21.368228,799.000000,0.141389,5651.090265,1075.000000,12789.000000,799.000000,947.856638,5.460744,15.907484,-48.000000,78.000000,-10.446740,21.368228,11.418673,0.439737,9.365815,0.533031,0,22.320208,3,-10.626990,13.864744,-66.000000,60.000000,-24.491734,3.237753,-5.472131,0.059264,5.595023,0.062989,0,357.560107,2,16.890804,0.443712,1
1.500000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmz,-18.400482,29.321970,894.000000,0.163351,5472.892868,1075.000000,12789.000000,894.000000,947.973516,5.460744,15.907484,-48.000000,78.000000,-18.400482,29.321970,10.652785,0.352034,8.775110,0.367319,0,61.000194,5,-10.626990,13.864744,-66.000000,60.000000,-31.424106,10.170125,-5.554309,0.058479,5.358635,0.044411,0,753.333547,4,16.207093,0.356858,1
2.000000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmz,-26.354224,37.275712,915.000000,0.168880,5418.048385,1075.000000,12789.000000,915.000000,958.520298,5.460744,15.907484,-48.000000,78.000000,-26.354224,37.275712,10.604464,0.354477,8.317206,0.271510,0,95.212802,7,-10.626990,13.864744,-66.000000,60.000000,-38.356478,17.102497,-5.553673,0.058509,5.341619,0.042549,0,1036.725198,6,16.158137,0.359273,1
0.500000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmy,-4.230321,19.769679,882.000000,0.148668,5932.694612,1075.000000,12789.000000,882.000000,1119.825229,7.769679,11.752154,-54.000000,72.000000,-4.230321,19.769679,7.794397,0.576036,9.348706,0.829620,0,0.118704,1,-1.132913,7.663659,-66.000000,60.000000,-13.132913,10.867087,-0.948779,0.090348,7.343861,0.109111,0,2.864545,1,8.743176,0.583078,1
0.750000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmy,-4.230321,19.769679,882.000000,0.148668,5932.694612,1075.000000,12789.000000,882.000000,1119.825229,7.769679,11.752154,-54.000000,72.000000,-4.230321,19.769679,7.794397,0.576036,9.348706,0.829620,0,0.118704,1,-1.132913,7.663659,-66.000000,60.000000,-13.132913,10.867087,-0.948779,0.090348,7.343861,0.109111,0,2.864545,1,8.743176,0.583078,1
1.000000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmy,-4.230321,19.769679,882.000000,0.148668,5932.694612,1075.000000,12789.000000,882.000000,1119.825229,7.769679,11.752154,-54.000000,72.000000,-4.230321,19.769679,7.794397,0.576036,9.348706,0.829620,0,0.118704,1,-1.132913,7.663659,-66.000000,60.000000,-13.132913,10.867087,-0.948779,0.090348,7.343861,0.109111,0,2.864545,1,8.743176,0.583078,1
1.500000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmy,-9.858552,25.397911,968.000000,0.184322,5251.671733,1075.000000,12789.000000,968.000000,991.278818,7.769679,11.752154,-54.000000,72.000000,-9.858552,25.397911,7.722685,0.379741,9.688819,0.401820,0,0.562162,3,-1.132913,7.663659,-66.000000,60.000000,-13.132913,10.867087,-0.948779,0.090348,7.343861,0.109111,0,2.864545,1,8.671464,0.390341,1
2.000000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Pmy,-15.734630,31.273988,997.000000,0.195795,5092.048898,1075.000000,12789.000000,997.000000,991.287408,7.769679,11.752154,-54.000000,72.000000,-15.734630,31.273988,7.492623,0.318700,9.555320,0.263229,0,1.917148,5,-1.132913,7.663659,-66.000000,60.000000,-16.460230,14.194404,-1.025231,0.079306,7.478235,0.077497,0,5.521722,2,8.517854,0.328419,1
