fit_k_sigma,setting,run,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_label,dp_lo,dp_hi,bin_center,var,norm_win_lo_MeV,norm_win_hi_MeV,intD_win,intS_win,sim_scale,entriesD,entriesS,entriesD_fit_range,entriesS_fit_range,seed_muD_MeV,seed_sigD_MeV,seed_loD_MeV,seed_hiD_MeV,fit_loD_MeV,fit_hiD_MeV,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,seed_muS_MeV,seed_sigS_MeV,seed_loS_MeV,seed_hiS_MeV,fit_loS_MeV,fit_hiS_MeV,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
0.750000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmz,-9.701718,16.241286,814.000000,0.145534,5593.200781,1206.000000,13296.000000,814.000000,941.820185,3.269784,17.295336,-54.000000,72.000000,-9.701718,16.241286,11.763028,1.484498,11.937034,1.185761,0,4.111759,2,-10.475439,13.575210,-66.000000,60.000000,-22.475439,1.524561,-1.849972,0.505995,8.419303,0.279256,0,119.309210,1,13.613000,1.568364,1
1.000000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmz,-14.025552,20.565120,949.000000,0.162763,5830.549927,1206.000000,13296.000000,949.000000,1014.284253,3.269784,17.295336,-54.000000,72.000000,-14.025552,20.565120,11.763028,1.484498,11.937034,1.185761,0,4.111759,2,-10.475439,13.575210,-66.000000,60.000000,-24.050649,3.099770,-5.614438,0.061098,5.891751,0.067099,0,327.707726,2,17.377466,1.485755,1
1.500000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmz,-22.673220,29.212789,991.000000,0.170144,5824.471688,1206.000000,13296.000000,991.000000,1053.344036,3.269784,17.295336,-54.000000,72.000000,-22.673220,29.212789,7.716008,0.389483,9.112102,0.324370,0,83.643706,6,-10.475439,13.575210,-66.000000,60.000000,-30.838254,9.887375,-5.708863,0.060149,5.680737,0.048374,0,717.339586,4,13.424871,0.394100,1
2.000000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmz,-31.320888,37.860457,1049.000000,0.180865,5799.916003,1206.000000,13296.000000,1049.000000,1071.271067,3.269784,17.295336,-54.000000,72.000000,-31.320888,37.860457,7.655596,0.396721,9.281076,0.332821,0,109.382846,8,-10.475439,13.575210,-66.000000,60.000000,-37.625858,16.674980,-5.706141,0.060182,5.606769,0.042600,0,1068.651059,6,13.361736,0.401260,1
0.500000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmy,-4.602775,19.397225,938.000000,0.153259,6120.354922,1206.000000,13296.000000,938.000000,1179.500689,7.397225,13.654835,-60.000000,66.000000,-4.602775,19.397225,7.190796,0.508844,9.149689,0.749229,0,1.892682,1,-0.948295,7.700834,-66.000000,60.000000,-12.948295,11.051705,-0.827975,0.091442,7.527859,0.114843,0,0.004297,1,8.018771,0.516995,1
0.750000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmy,-4.602775,19.397225,938.000000,0.153259,6120.354922,1206.000000,13296.000000,938.000000,1179.500689,7.397225,13.654835,-60.000000,66.000000,-4.602775,19.397225,7.190796,0.508844,9.149689,0.749229,0,1.892682,1,-0.948295,7.700834,-66.000000,60.000000,-12.948295,11.051705,-0.827975,0.091442,7.527859,0.114843,0,0.004297,1,8.018771,0.516995,1
1.000000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmy,-6.257611,21.052060,996.000000,0.188963,5270.875449,1206.000000,13296.000000,996.000000,1015.790963,7.397225,13.654835,-60.000000,66.000000,-6.257611,21.052060,7.293425,0.406637,9.339337,0.481023,0,1.989007,2,-0.948295,7.700834,-66.000000,60.000000,-12.948295,11.051705,-0.827975,0.091442,7.527859,0.114843,0,0.004297,1,8.121400,0.416792,1
1.500000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmy,-13.085028,27.879478,1072.000000,0.200535,5345.701722,1206.000000,13296.000000,1072.000000,1030.211310,7.397225,13.654835,-60.000000,66.000000,-13.085028,27.879478,7.624775,0.334939,9.790159,0.327893,0,7.108080,4,-0.948295,7.700834,-66.000000,60.000000,-12.948295,11.051705,-0.827975,0.091442,7.527859,0.114843,0,0.004297,1,8.452749,0.347197,1
2.000000,C,25476,10.671600,4.720000,26.395000,-6.720000,18.560000,b1,-0.500000,2.500000,1.000000,Pmy,-19.912446,34.706895,1100.000000,0.203005,5418.581443,1206.000000,13296.000000,1100.000000,1079.888758,7.397225,13.654835,-60.000000,66.000000,-19.912446,34.706895,7.643144,0.323072,10.234650,0.292744,0,11.938186,6,-0.948295,7.700834,-66.000000,60.000000,-16.349963,14.453373,-0.852896,0.080648,7.575348,0.078703,0,0.313826,2,8.496041,0.332986,1
0.500000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,W,937.776594,966.680311,488.000000,0.107773,4528.043100,1244.000000,12750.000000,488.000000,505.982995,952.228452,28.903717,873.000000,1020.000000,937.776594,966.680311,951.647945,4.521183,24.760895,15.039760,0,0.342396,1,949.926204,22.479127,873.000000,1020.000000,935.926204,963.926204,946.012284,0.908289,18.667309,1.717938,0,0.013167,1,5.635661,4.611516,1
